Drug_ID,Drug,Y,mol,mol_wt,logp,hba,hbd,tpsa,num_rot_bonds,num_het_atoms,num_heavy_atoms,num_rings,fsp3,mol_no_salt
Drug 33,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0810>,208.38899999999995,4.740900000000004,0,0,0.0,1,0,15,2,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216450>
Drug 36,O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F04B0>,247.253,4.395400000000001,2,0,43.14,1,3,19,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E2164B0>
Drug 38,c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0B10>,224.30299999999997,3.6850000000000014,1,0,12.53,4,1,17,3,0.25,<rdkit.Chem.rdchem.Mol object at 0x000001775E216510>
Drug 39,Oc1cc2c3ccccc3ccc2c2ccccc12,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0BD0>,244.29299999999998,4.8518000000000026,1,1,20.23,0,1,19,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216570>
Drug 40,Oc1ccc2ccccc2c1N=Nc1ccccc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F01B0>,248.285,4.9608000000000025,3,1,44.95,2,3,19,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E2165D0>
Drug 41,N[C@H]1CC[C@H](C[C@H]2CC[C@H](N)CC2)CC1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0270>,210.36499999999995,2.4115,2,2,52.04,2,2,15,2,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216630>
Drug 42,COC(=O)C12CC1(C=O)C(C=O)=CC1CC(C)(C)CC12,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0090>,276.332,1.9261,4,0,60.440000000000005,3,4,20,3,0.6875,<rdkit.Chem.rdchem.Mol object at 0x000001775E216690>
Drug 45,CCN(CCCl)CCCNc1c2c(nc3ccccc13)CCCC2,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0150>,345.9180000000002,4.476300000000004,3,1,28.16,8,4,24,3,0.55,<rdkit.Chem.rdchem.Mol object at 0x000001775E2166F0>
Drug 46,CC(=C\C1=CCOC1=O)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0450>,415.44200000000023,0.7721999999999996,7,3,125.46000000000001,8,8,30,3,0.4090909090909091,<rdkit.Chem.rdchem.Mol object at 0x000001775E216750>
Drug 47,CCO[P@](=S)(CC)Sc1ccccc1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0330>,246.33700000000005,4.144600000000003,3,0,9.23,5,4,14,1,0.4,<rdkit.Chem.rdchem.Mol object at 0x000001775E2167B0>
Drug 49,CCSCCSP(=O)(OC)OC,0,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0030>,230.29099999999997,2.8736000000000015,5,0,35.53,7,6,12,0,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216810>
Drug 53,Cc1cc(N)c(S(=O)(=O)O)cc1Cl,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545306F0>,221.66500000000002,1.4773200000000002,3,2,80.39,1,6,13,1,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E216870>
Drug 55,CN(C)CCNC(=O)c1cccc2c1C(=O)c1ccccc1C2=O,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754530390>,322.3640000000001,1.7534000000000003,4,1,66.48,4,5,24,3,0.21052631578947367,<rdkit.Chem.rdchem.Mol object at 0x000001775E2168D0>
Drug 56,Nc1snc2c(Cl)cc(Cl)cc12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754530750>,219.096,3.1853,3,1,38.91,0,5,12,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216930>
Drug 61,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546780F0>,292.338,4.435600000000002,4,2,70.5,4,4,22,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216990>
Drug 65,Nc1ncnc2c1ncn2Cc1ccc([N+](=O)[O-])cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754678E70>,270.25199999999995,1.3649999999999998,7,1,112.76000000000002,3,8,20,3,0.08333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E2169F0>
Drug 69,CC(C)=CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41O,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754677C90>,394.37900000000013,3.3161000000000045,7,3,109.36000000000001,2,7,29,5,0.22727272727272727,<rdkit.Chem.rdchem.Mol object at 0x000001775E216A50>
Drug 70,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754677B10>,258.405,4.525200000000004,1,0,9.23,0,1,19,3,0.6666666666666666,<rdkit.Chem.rdchem.Mol object at 0x000001775E216AB0>
Drug 71,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546770F0>,323.80500000000006,3.6671400000000007,5,2,75.11,5,7,21,2,0.21428571428571427,<rdkit.Chem.rdchem.Mol object at 0x000001775E216B10>
Drug 72,Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775BDAFED0>,292.298,4.745600000000002,5,1,93.88,3,6,22,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E216B70>
Drug 73,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775BDAFE70>,543.5250000000003,0.0012999999999993017,12,6,206.07,5,12,39,5,0.4444444444444444,<rdkit.Chem.rdchem.Mol object at 0x000001775E216BD0>
Drug 74,Oc1ccc(Cc2ccccc2O)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775BDAF630>,200.23700000000002,2.688600000000001,2,2,40.46,2,2,15,2,0.07692307692307693,<rdkit.Chem.rdchem.Mol object at 0x000001775E216C30>
Drug 76,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775BDAF870>,243.262,3.221000000000002,3,1,49.77000000000001,3,4,18,2,0.07142857142857142,<rdkit.Chem.rdchem.Mol object at 0x000001775E216C90>
Drug 77,CC(C)(c1ccc(OP(O)O)cc1)c1ccc(OP(O)O)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775BDAFCF0>,356.25100000000003,3.193100000000003,6,4,99.38000000000001,6,8,23,2,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E216CF0>
Drug 79,CC(C)(C)C(Br)C(=O)Nc1ccccc1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754672C90>,270.17,3.434700000000001,1,1,29.1,2,3,15,1,0.4166666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E216D50>
Drug 80,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754672E70>,364.4490000000002,3.2064200000000014,6,2,69.87,6,6,27,4,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E216DB0>
Drug 81,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546721B0>,216.22199999999998,1.1927,5,2,97.16,3,8,14,1,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E216E10>
Drug 82,COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754672090>,354.3140000000001,3.0150000000000015,7,1,87.36000000000001,2,7,26,5,0.21052631578947367,<rdkit.Chem.rdchem.Mol object at 0x000001775E216E70>
Drug 87,Cc1cc(C)n(-c2[nH]nc(NN)c3c4ccccc4nc2-3)n1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754672CF0>,293.33400000000006,2.1508399999999996,6,3,97.44,2,7,22,4,0.13333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E216ED0>
Drug 89,O=C(NC(S)c1nc2ccccc2s1)NC(S)c1nc2ccccc2s1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754672DB0>,418.5940000000001,4.762200000000003,7,4,66.91,4,9,26,4,0.11764705882352941,<rdkit.Chem.rdchem.Mol object at 0x000001775E216F30>
Drug 93,CC(=O)Nc1c(O)cc2c3c(cccc13)-c1ccccc1-2,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546708D0>,275.307,4.151200000000002,2,2,49.33,1,3,21,4,0.05555555555555555,<rdkit.Chem.rdchem.Mol object at 0x000001775E216F90>
Drug 94,OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754670690>,270.3310000000001,4.514200000000002,1,1,20.23,0,1,21,5,0.1,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E030>
Drug 95,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccc(O)cc1-2,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754670F30>,263.252,4.101000000000001,3,1,63.370000000000005,1,4,20,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E090>
Drug 96,O=[N+]([O-])c1c2c(cc3ccccc13)C=CC(O)C2O,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670870>,257.245,2.1691000000000007,4,2,83.60000000000001,1,5,19,3,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E0F0>
Drug 97,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670DB0>,386.38500000000016,4.214120000000003,6,3,136.61999999999998,4,9,27,3,0.05555555555555555,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E150>
Drug 98,CN=C1C=CC(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=C1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670030>,357.5010000000001,4.817300000000005,3,0,18.84,4,3,27,3,0.20833333333333334,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E1B0>
Drug 101,NP(=O)(OCCC(=O)O)N(CCCl)CCCl,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546702D0>,293.087,1.3240999999999998,3,2,92.86000000000001,9,9,16,0,0.8571428571428571,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E210>
Drug 102,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670C30>,379.221,2.6358000000000006,6,4,135.86999999999998,4,10,23,2,0.07692307692307693,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E270>
Drug 109,CN(C)CCN(Cc1ccccc1)c1ccccn1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670450>,255.36500000000004,2.649800000000001,3,0,19.37,6,3,19,2,0.3125,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E2D0>
Drug 110,C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546700F0>,282.723,1.7109,4,1,63.6,1,5,19,3,0.5714285714285714,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E330>
Drug 111,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670B10>,454.44700000000023,0.2684000000000012,10,5,210.53999999999996,9,13,33,3,0.25,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E390>
Drug 113,Nc1ccccc1SCCSc1ccccc1N,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546701B0>,276.43,3.735400000000002,4,2,52.04,5,4,18,2,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E3F0>
Drug 116,CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670CF0>,251.373,4.7367000000000035,1,1,26.02,2,1,19,2,0.2222222222222222,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E450>
Drug 117,O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546705D0>,234.15999999999997,-0.6626000000000003,4,4,149.2,7,8,16,0,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E4B0>
Drug 119,CN(C)CCCNc1c2ccccc2nc2c(N(CCO)CCO)ccc([N+](=O)[O-])c12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754670090>,427.5050000000002,2.4508,8,3,115.0,11,9,31,3,0.4090909090909091,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E510>
Drug 121,Cc1cc(S(=O)(=O)O)c(N)cc1Cl,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754670210>,221.665,1.47732,3,2,80.39,1,6,13,1,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E570>
Drug 128,CN(c1nccc(O)n1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670A50>,432.5030000000002,3.8245000000000022,7,1,70.31,5,8,32,5,0.2916666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E5D0>
Drug 129,CSC(C)(C)C(=O)NC(CS)C(=O)O,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754670390>,237.346,0.6271999999999998,4,3,66.4,5,6,14,0,0.75,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E630>
Drug 131,[N-]=[N+]=NCC(O)C(O)C(O)C(O)C=O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546AF0F0>,205.17,-2.0608000000000004,6,4,146.75,6,8,14,0,0.8333333333333334,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E690>
Drug 132,CCCCCNc1snc2ccccc12,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546AF930>,220.341,3.8984000000000023,3,1,24.92,5,3,15,2,0.4166666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E6F0>
Drug 134,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546AFED0>,217.202,1.1499199999999998,4,1,97.51,2,7,14,1,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E750>
Drug 135,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546AF210>,203.17499999999998,0.8415000000000001,4,1,97.51,2,7,13,1,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E7B0>
Drug 137,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCl,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546AF030>,240.60199999999998,1.3871,4,0,80.52,2,7,16,2,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E810>
Drug 138,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546AF9F0>,258.4049999999999,4.792620000000005,1,0,17.07,1,1,19,2,0.6111111111111112,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E870>
Drug 139,OCc1cc2ccc3cccc4ccc(c1)c2c34,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546AFA50>,232.28199999999998,4.0763000000000025,1,1,20.23,1,1,18,4,0.058823529411764705,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E8D0>
Drug 140,CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546AFD50>,327.38,4.005600000000004,4,0,55.84,6,5,24,2,0.2631578947368421,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E930>
Drug 141,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546AF150>,298.42600000000004,3.636600000000003,2,1,37.3,0,2,22,4,0.75,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E990>
Drug 143,CC(=O)Nc1cc(N=[N+]([O-])c2ccc(C)c(NC(C)=O)c2)ccc1C,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B090>,340.3830000000001,4.145940000000003,4,2,96.63,4,7,25,2,0.2222222222222222,<rdkit.Chem.rdchem.Mol object at 0x000001775E21E9F0>
Drug 145,c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B150>,329.4070000000001,2.5344999999999995,4,3,64.57,3,5,25,5,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EA50>
Drug 146,CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467B1B0>,240.34999999999997,3.147800000000001,1,1,19.03,0,2,18,4,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EAB0>
Drug 151,CC1(C)OC1COc1c2occc2cc2ccc(=O)oc12,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B390>,286.2830000000001,3.0954000000000015,5,0,65.11,3,5,21,4,0.3125,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EB10>
Drug 153,CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467B450>,335.38500000000005,3.2787000000000024,6,0,94.57,5,8,23,2,0.4,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EB70>
Drug 155,COc1nsc2cc(OCC3CO3)ccc12,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467B510>,237.27999999999997,2.0825,5,0,43.88,4,5,16,3,0.36363636363636365,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EBD0>
Drug 159,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B690>,333.237,3.006000000000001,3,0,40.620000000000005,5,9,18,1,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EC30>
Drug 161,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B750>,285.897,3.6108000000000002,3,0,43.370000000000005,0,7,15,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EC90>
Drug 162,c1ccc2c(c1)ccc1ccc3c(c12)CCC3,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467B7B0>,218.29899999999992,4.481700000000003,0,0,0.0,0,0,17,4,0.17647058823529413,<rdkit.Chem.rdchem.Mol object at 0x000001775E21ECF0>
Drug 164,Clc1cccc2oc3ccccc3c12,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B870>,202.64,4.239400000000002,1,0,13.14,0,2,14,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E21ED50>
Drug 168,CCCC(=O)OCc1ccccc1[N+](=O)[O-],0,<rdkit.Chem.rdchem.Mol object at 0x000001775467B9F0>,223.22799999999998,2.4381000000000004,4,0,69.44,5,5,16,1,0.36363636363636365,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EDB0>
Drug 171,COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467BB10>,333.17100000000005,3.633600000000002,5,0,68.75,7,8,21,2,0.38461538461538464,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EE10>
Drug 172,CC(C)CCOC(=O)/C=C\c1ccccc1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775467BB70>,218.29600000000002,3.289100000000002,2,0,26.3,5,2,16,1,0.35714285714285715,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EE70>
Drug 178,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467BDB0>,202.55299999999997,2.1564000000000005,4,0,86.28,2,7,13,1,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EED0>
Drug 179,c1cc2ccc3cncc4ccc(c1)c2c34,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467BE10>,203.24399999999997,3.979000000000002,1,0,12.89,0,1,16,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EF30>
Drug 180,O=C1NC(=O)C(Cl)(Cl)C1=C(Cl)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467BE70>,248.88,1.5058999999999998,2,1,46.17,0,7,12,1,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E21EF90>
Drug 181,c1ccc2cc3c(ccc4cccnc43)cc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467BED0>,229.28199999999998,4.541200000000003,1,0,12.89,0,1,18,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E219030>
Drug 182,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,1,<rdkit.Chem.rdchem.Mol object at 0x000001775467BF30>,304.6700000000001,4.843900000000003,2,0,20.310000000000002,4,6,16,0,0.7,<rdkit.Chem.rdchem.Mol object at 0x000001775E219090>
Drug 185,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754687090>,310.74699999999996,3.3625000000000007,3,3,58.28,3,7,20,1,0.5384615384615384,<rdkit.Chem.rdchem.Mol object at 0x000001775E2190F0>
Drug 186,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546870F0>,245.876,2.5166,2,0,34.14,0,6,12,1,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E219150>
Drug 187,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754687150>,296.319,1.5703999999999998,6,0,78.9,10,6,21,0,0.4,<rdkit.Chem.rdchem.Mol object at 0x000001775E2191B0>
Drug 188,CC1(C(=O)O)CCCC2(C)C3CCC4(O)CC3(CCC12)CC41CO1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546871B0>,334.45600000000013,3.3678000000000026,3,2,70.06,1,4,24,5,0.95,<rdkit.Chem.rdchem.Mol object at 0x000001775E219210>
Drug 189,O[C@H]1C=Cc2c(ccc3c2-c2cccc4cccc-3c24)[C@@H]1O,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754687210>,286.33000000000004,3.9083000000000028,2,2,40.46,0,2,22,5,0.1,<rdkit.Chem.rdchem.Mol object at 0x000001775E219270>
Drug 190,Cc1ccc2c(c1)C(C)C1C(=Nc3ccccc31)N2C,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754687270>,262.35600000000005,4.375720000000005,2,0,15.6,0,2,20,4,0.2777777777777778,<rdkit.Chem.rdchem.Mol object at 0x000001775E2192D0>
Drug 194,O=[N+]([O-])c1cccc2c1ccc1cccc([N+](=O)[O-])c12,1,<rdkit.Chem.rdchem.Mol object at 0x00000177546873F0>,268.228,3.809400000000002,4,0,86.28,2,6,20,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E219330>
Drug 195,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754687450>,278.348,3.600400000000003,4,0,52.60000000000001,8,4,20,1,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001775E219390>
Drug 196,O=C(O)C1Cc2c([nH]c3ccccc23)CN1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177546874B0>,216.24000000000004,1.2668,2,3,65.11999999999999,1,4,16,3,0.25,<rdkit.Chem.rdchem.Mol object at 0x000001775E2193F0>
